
result 1
0: 11 5 9 | waste: 0/25
1: 11 7 7 | waste: 0/25
2: 10 10 | waste: 0/20
3: 10 10 | waste: 0/20
4: 7 8 5 5 | waste: 0/25
5: 6 7 | waste: 0/13
6: 8 5 | waste: 0/13
7: 6 7 | waste: 0/13
8: 10 10 | waste: 0/20
9: 11 7 7 | waste: 0/25
10: 6 7 | waste: 0/13
11: 12 7 6 | waste: 0/25
12: 5 8 | waste: 0/13
13: 11 9 | waste: 0/20
14: 6 7 | waste: 0/13
15: 7 6 | waste: 0/13
16: 6 7 | waste: 0/13
17: 11 8 6 | waste: 0/25
18: 5 8 | waste: 0/13
19: 9 11 | waste: 0/20
20: 5 8 | waste: 0/13
21: 6 7 | waste: 0/13
22: 8 6 11 | waste: 0/25
23: 7 6 | waste: 0/13
24: 11 9 | waste: 0/20
25: 6 7 | waste: 0/13
fitness: 1 total_wastage: 0 found at: 197

result 2
0: 7 12 6 | waste: 0/25
1: 7 6 | waste: 0/13
2: 9 11 | waste: 0/20
3: 6 7 | waste: 0/13
4: 10 9 6 | waste: 0/25
5: 10 5 5 | waste: 0/20
6: 7 11 7 | waste: 0/25
7: 8 5 | waste: 0/13
8: 8 11 6 | waste: 0/25
9: 6 7 | waste: 0/13
10: 7 11 7 | waste: 0/25
11: 8 5 | waste: 0/13
12: 8 11 6 | waste: 0/25
13: 7 6 | waste: 0/13
14: 7 7 11 | waste: 0/25
15: 10 10 | waste: 0/20
16: 11 9 | waste: 0/20
17: 7 6 | waste: 0/13
18: 7 6 | waste: 0/13
19: 5 8 | waste: 0/13
20: 7 6 | waste: 0/13
21: 6 7 | waste: 0/13
22: 8 5 | waste: 0/13
23: 10 10 | waste: 0/20
24: 8 5 | waste: 0/13
25: 9 11 | waste: 0/20
fitness: 1 total_wastage: 0 found at: 90

result 3
0: 7 6 | waste: 0/13
1: 6 7 | waste: 0/13
2: 7 11 7 | waste: 0/25
3: 11 9 | waste: 0/20
4: 10 10 | waste: 0/20
5: 7 6 | waste: 0/13
6: 11 9 | waste: 0/20
7: 10 10 | waste: 0/20
8: 10 7 8 | waste: 0/25
9: 11 5 8 | waste: 1/25
10: 8 5 | waste: 0/13
11: 7 6 | waste: 0/13
12: 11 7 7 | waste: 0/25
13: 9 11 | waste: 0/20
14: 11 8 6 | waste: 0/25
15: 7 6 | waste: 0/13
16: 10 5 5 | waste: 0/20
17: 7 6 | waste: 0/13
18: 7 6 | waste: 0/13
19: 7 6 12 | waste: 0/25
20: 7 6 | waste: 0/13
21: 5 8 7 | waste: 0/20
22: 8 5 | waste: 0/13
23: 9 5 6 | waste: 0/20
24: 11 8 6 | waste: 0/25
fitness: 0.990769 total_wastage: 1 found at: 194

result 4
0: 12 5 8 | waste: 0/25
1: 8 5 | waste: 0/13
2: 10 10 | waste: 0/20
3: 11 9 | waste: 0/20
4: 10 10 | waste: 0/20
5: 9 11 5 | waste: 0/25
6: 8 5 | waste: 0/13
7: 7 7 11 | waste: 0/25
8: 10 10 | waste: 0/20
9: 6 8 11 | waste: 0/25
10: 11 9 | waste: 0/20
11: 7 6 | waste: 0/13
12: 8 5 | waste: 0/13
13: 6 7 6 6 | waste: 0/25
14: 11 7 7 | waste: 0/25
15: 7 6 | waste: 0/13
16: 5 8 | waste: 0/13
17: 6 7 | waste: 0/13
18: 11 7 7 | waste: 0/25
19: 7 6 | waste: 0/13
20: 11 9 | waste: 0/20
21: 6 7 | waste: 0/13
22: 7 6 | waste: 0/13
23: 6 7 | waste: 0/13
24: 7 6 | waste: 0/13
25: 8 5 | waste: 0/13
fitness: 1 total_wastage: 0 found at: 265

result 5
0: 8 12 | waste: 0/20
1: 7 6 | waste: 0/13
2: 6 9 5 | waste: 0/20
3: 8 11 6 | waste: 0/25
4: 11 7 7 | waste: 0/25
5: 11 7 7 | waste: 0/25
6: 11 8 6 | waste: 0/25
7: 11 9 | waste: 0/20
8: 6 7 5 6 | waste: 1/25
9: 11 9 | waste: 0/20
10: 10 10 | waste: 0/20
11: 8 5 | waste: 0/13
12: 5 10 5 | waste: 0/20
13: 6 7 | waste: 0/13
14: 8 5 | waste: 0/13
15: 10 10 | waste: 0/20
16: 10 8 7 | waste: 0/25
17: 11 9 | waste: 0/20
18: 7 6 | waste: 0/13
19: 6 7 | waste: 0/13
20: 7 6 | waste: 0/13
21: 5 8 | waste: 0/13
22: 7 6 | waste: 0/13
23: 7 7 11 | waste: 0/25
24: 6 7 | waste: 0/13
fitness: 0.990769 total_wastage: 1 found at: 155

result 6
0: 7 6 | waste: 0/13
1: 8 5 | waste: 0/13
2: 6 7 | waste: 0/13
3: 11 9 | waste: 0/20
4: 8 12 | waste: 0/20
5: 7 8 10 | waste: 0/25
6: 11 8 6 | waste: 0/25
7: 11 8 6 | waste: 0/25
8: 10 7 7 | waste: 1/25
9: 11 9 5 | waste: 0/25
10: 7 6 | waste: 0/13
11: 7 6 | waste: 0/13
12: 11 9 | waste: 0/20
13: 11 7 7 | waste: 0/25
14: 5 5 10 | waste: 0/20
15: 10 10 | waste: 0/20
16: 7 6 | waste: 0/13
17: 5 10 5 | waste: 0/20
18: 7 6 | waste: 0/13
19: 8 6 6 | waste: 0/20
20: 11 9 | waste: 0/20
21: 8 5 | waste: 0/13
22: 7 6 | waste: 0/13
23: 7 7 11 | waste: 0/25
24: 7 6 | waste: 0/13
fitness: 0.990769 total_wastage: 1 found at: 74

result 7
0: 7 6 | waste: 0/13
1: 5 8 | waste: 0/13
2: 11 8 5 | waste: 1/25
3: 12 8 | waste: 0/20
4: 11 9 | waste: 0/20
5: 8 5 7 | waste: 0/20
6: 6 11 8 | waste: 0/25
7: 7 11 7 | waste: 0/25
8: 5 10 5 | waste: 0/20
9: 6 11 8 | waste: 0/25
10: 9 11 5 | waste: 0/25
11: 10 10 | waste: 0/20
12: 10 8 7 | waste: 0/25
13: 9 6 5 | waste: 0/20
14: 7 6 | waste: 0/13
15: 7 6 | waste: 0/13
16: 7 6 | waste: 0/13
17: 9 11 | waste: 0/20
18: 7 11 7 | waste: 0/25
19: 7 6 | waste: 0/13
20: 7 6 | waste: 0/13
21: 6 7 | waste: 0/13
22: 10 10 | waste: 0/20
