
result 1
0: 10 8 7 | waste: 0/25
1: 7 7 6 5 | waste: 0/25
2: 10 7 8 | waste: 0/25
3: 7 7 6 5 | waste: 0/25
4: 8 11 6 | waste: 0/25
5: 11 5 9 | waste: 0/25
6: 10 9 6 | waste: 0/25
7: 7 12 6 | waste: 0/25
8: 10 7 8 | waste: 0/25
9: 9 11 5 | waste: 0/25
10: 9 5 | waste: 11/25
11: 7 11 7 | waste: 0/25
12: 7 6 7 5 | waste: 0/25
13: 6 11 8 | waste: 0/25
14: 7 11 7 | waste: 0/25
15: 7 6 6 6 | waste: 0/25
16: 11 6 8 | waste: 0/25
17: 10 10 5 | waste: 0/25
18: 11 8 6 | waste: 0/25
fitness: 0.964202 total_wastage: 11 found at: 102

result 2
0: 7 5 7 6 | waste: 0/25
1: 9 11 5 | waste: 0/25
2: 6 7 5 7 | waste: 0/25
3: 8 10 7 | waste: 0/25
4: 10 8 7 | waste: 0/25
5: 11 9 5 | waste: 0/25
6: 10 6 9 | waste: 0/25
7: 11 7 7 | waste: 0/25
8: 11 8 6 | waste: 0/25
9: 7 12 6 | waste: 0/25
10: 6 6 6 7 | waste: 0/25
11: 5 11 9 | waste: 0/25
12: 8 6 | waste: 11/25
13: 10 5 10 | waste: 0/25
14: 6 7 7 5 | waste: 0/25
15: 11 7 7 | waste: 0/25
16: 7 8 10 | waste: 0/25
17: 8 11 6 | waste: 0/25
18: 8 11 6 | waste: 0/25
fitness: 0.964202 total_wastage: 11 found at: 147

result 3
0: 10 9 6 | waste: 0/25
1: 7 11 7 | waste: 0/25
2: 8 7 10 | waste: 0/25
3: 5 11 9 | waste: 0/25
4: 6 8 5 6 | waste: 0/25
5: 6 9 10 | waste: 0/25
6: 7 11 7 | waste: 0/25
7: 11 8 6 | waste: 0/25
8: 5 10 5 5 | waste: 0/25
9: 5 6 7 7 | waste: 0/25
10: 8 5 12 | waste: 0/25
11: 7 8 10 | waste: 0/25
12: 11 7 7 | waste: 0/25
13: 7 11 7 | waste: 0/25
