
result 1
0: 1300 1150 1050 | waste: 0/3500
1: 1900 1900 | waste: 0/3800
2: 1350 2100 | waste: 50/3500
3: 1950 2000 | waste: 0/3950
4: 2050 1900 | waste: 0/3950
5: 1200 2220 | waste: 80/3500
6: 1700 2000 | waste: 0/3700
7: 1850 1850 | waste: 0/3700
8: 2050 2100 | waste: 0/4150
9: 1050 1250 1200 | waste: 0/3500
10: 2050 1900 | waste: 0/3950
11: 1950 2000 | waste: 0/3950
12: 2250 1250 | waste: 0/3500
13: 2050 2100 | waste: 0/4150
14: 2050 2100 | waste: 0/4150
15: 2350 1150 | waste: 0/3500
16: 1950 2000 | waste: 0/3950
17: 1200 1250 1100 | waste: 0/3550
18: 2250 1250 | waste: 0/3500
19: 2100 1850 | waste: 0/3950
20: 1850 1850 | waste: 0/3700
21: 2050 1900 | waste: 0/3950
22: 1950 2000 | waste: 0/3950
23: 2100 1850 | waste: 0/3950
24: 1950 2000 | waste: 0/3950
25: 1900 1900 | waste: 0/3800
26: 1900 1900 | waste: 0/3800
27: 1700 2000 | waste: 0/3700
28: 1850 2100 | waste: 0/3950
29: 1250 2250 | waste: 0/3500
30: 1700 2000 | waste: 0/3700
31: 1900 1900 | waste: 0/3800
32: 1950 2000 | waste: 0/3950
33: 1300 1100 1100 | waste: 0/3500
34: 1350 1100 1050 | waste: 0/3500
35: 1200 1150 1150 | waste: 0/3500
36: 1900 1900 | waste: 0/3800
37: 1850 1850 | waste: 0/3700
38: 1650 1900 | waste: 0/3550
39: 1850 1850 | waste: 0/3700
40: 1700 2000 | waste: 0/3700
41: 1350 2100 | waste: 50/3500
42: 1250 2250 | waste: 0/3500
43: 1100 1100 1350 | waste: 0/3550
44: 1100 1200 1200 | waste: 0/3500
45: 1650 1900 | waste: 0/3550
46: 1850 2100 | waste: 0/3950
47: 1200 1100 1200 | waste: 0/3500
48: 1700 2000 | waste: 0/3700
49: 2220 | waste: 1280/3500
50: 1200 2220 | waste: 80/3500
51: 2350 1200 | waste: 0/3550
52: 1350 2100 | waste: 50/3500
53: 2100 1350 | waste: 50/3500
54: 1350 2100 | waste: 50/3500
55: 1300 2220 | waste: 30/3550
56: 1850 2100 | waste: 0/3950
57: 1350 2100 | waste: 50/3500
58: 2100 1350 | waste: 50/3500
fitness: 0.966298 total_wastage: 1820 found at: 1990

result 2
0: 1200 1100 1200 | waste: 0/3500
1: 2100 1850 | waste: 0/3950
2: 2100 1850 | waste: 0/3950
3: 1350 2100 | waste: 50/3500
4: 2220 | waste: 1280/3500
5: 1850 1850 | waste: 0/3700
6: 1250 1150 1100 | waste: 0/3500
7: 1250 2250 | waste: 0/3500
8: 1250 2250 | waste: 0/3500
9: 1200 1200 1100 | waste: 0/3500
10: 1850 1850 | waste: 0/3700
11: 2000 1950 | waste: 0/3950
12: 1350 1050 1100 | waste: 0/3500
13: 1900 1900 | waste: 0/3800
14: 1900 1900 | waste: 0/3800
15: 2050 2100 | waste: 0/4150
16: 1150 2350 | waste: 0/3500
17: 1250 2220 | waste: 30/3500
18: 1350 2100 | waste: 50/3500
19: 1200 1100 1200 | waste: 0/3500
20: 1850 2100 | waste: 0/3950
21: 1350 2100 | waste: 50/3500
22: 1100 1200 1200 | waste: 0/3500
23: 1150 1350 1050 | waste: 0/3550
24: 2000 1950 | waste: 0/3950
25: 2000 1950 | waste: 0/3950
26: 1900 1900 | waste: 0/3800
27: 1200 2350 | waste: 0/3550
28: 2000 1700 | waste: 0/3700
29: 1900 2050 | waste: 0/3950
30: 1300 1150 1050 | waste: 0/3500
31: 1900 2050 | waste: 0/3950
32: 1950 2000 | waste: 0/3950
33: 1650 1850 | waste: 0/3500
34: 2050 2100 | waste: 0/4150
35: 1700 2000 | waste: 0/3700
36: 1300 2220 | waste: 30/3550
37: 1900 1900 | waste: 0/3800
38: 2000 1700 | waste: 0/3700
39: 2100 1850 | waste: 0/3950
40: 1850 1650 | waste: 0/3500
41: 2050 2100 | waste: 0/4150
42: 2050 1900 | waste: 0/3950
43: 1250 2250 | waste: 0/3500
44: 1950 2000 | waste: 0/3950
45: 1900 1900 | waste: 0/3800
46: 1900 1900 | waste: 0/3800
47: 1200 2220 | waste: 80/3500
48: 1700 2000 | waste: 0/3700
49: 1950 2000 | waste: 0/3950
50: 1850 1850 | waste: 0/3700
51: 1350 2100 | waste: 50/3500
52: 1350 2100 | waste: 50/3500
53: 1100 1300 1100 | waste: 0/3500
54: 1350 2100 | waste: 50/3500
55: 2000 1700 | waste: 0/3700
56: 2250 1250 | waste: 0/3500
57: 2100 1850 | waste: 0/3950
58: 2100 1350 | waste: 50/3500
fitness: 0.967274 total_wastage: 1770 found at: 1896

result 3
0: 1350 1100 1050 | waste: 0/3500
1: 1850 1650 | waste: 0/3500
2: 2220 | waste: 1280/3500
3: 1900 1900 | waste: 0/3800
4: 1200 1300 1050 | waste: 0/3550
5: 1850 1850 | waste: 0/3700
6: 1900 1900 | waste: 0/3800
7: 1850 2100 | waste: 0/3950
8: 2350 1150 | waste: 0/3500
9: 2050 2100 | waste: 0/4150
10: 1350 1100 1100 | waste: 0/3550
11: 2250 1250 | waste: 0/3500
12: 2350 1150 | waste: 0/3500
13: 2100 2050 | waste: 0/4150
14: 1700 2000 | waste: 0/3700
15: 1850 1850 | waste: 0/3700
16: 1350 2100 | waste: 50/3500
17: 1250 2250 | waste: 0/3500
18: 1200 2220 | waste: 80/3500
19: 1150 1200 1150 | waste: 0/3500
20: 1100 1300 1100 | waste: 0/3500
21: 1850 2100 | waste: 0/3950
22: 1950 2000 | waste: 0/3950
23: 1950 2000 | waste: 0/3950
24: 2100 2050 | waste: 0/4150
25: 1850 2100 | waste: 0/3950
26: 1850 1850 | waste: 0/3700
27: 1850 2100 | waste: 0/3950
28: 1700 2000 | waste: 0/3700
29: 1250 1200 1050 | waste: 0/3500
30: 1950 2000 | waste: 0/3950
31: 1900 1650 | waste: 0/3550
32: 1950 2000 | waste: 0/3950
33: 1350 2100 | waste: 50/3500
34: 1700 2000 | waste: 0/3700
35: 1900 1900 | waste: 0/3800
36: 1350 2100 | waste: 50/3500
37: 1900 1900 | waste: 0/3800
38: 1200 1200 1100 | waste: 0/3500
39: 1100 1200 1200 | waste: 0/3500
40: 1850 1850 | waste: 0/3700
41: 2100 1350 | waste: 50/3500
42: 1300 2220 | waste: 30/3550
43: 1350 2100 | waste: 50/3500
44: 1200 2220 | waste: 80/3500
45: 1700 2000 | waste: 0/3700
46: 2050 1900 | waste: 0/3950
47: 1950 2000 | waste: 0/3950
48: 1250 1200 1100 | waste: 0/3550
49: 1250 2250 | waste: 0/3500
50: 1900 1900 | waste: 0/3800
51: 2250 1250 | waste: 0/3500
52: 1900 2050 | waste: 0/3950
53: 1700 2000 | waste: 0/3700
54: 2050 2100 | waste: 0/4150
55: 1950 2000 | waste: 0/3950
56: 1900 1900 | waste: 0/3800
57: 1350 2100 | waste: 50/3500
58: 1350 2100 | waste: 50/3500
fitness: 0.966298 total_wastage: 1820 found at: 1354

result 4
0: 1950 2000 | waste: 0/3950
1: 1150 1100 1250 | waste: 0/3500
2: 2100 1850 | waste: 0/3950
3: 1200 2220 | waste: 80/3500
4: 1650 1900 | waste: 0/3550
5: 1200 2220 | waste: 80/3500
6: 1850 1850 | waste: 0/3700
7: 2100 1850 | waste: 0/3950
8: 1850 1850 | waste: 0/3700
9: 1850 2100 | waste: 0/3950
10: 2050 2100 | waste: 0/4150
11: 1250 2250 | waste: 0/3500
12: 1950 2000 | waste: 0/3950
13: 1700 2000 | waste: 0/3700
14: 1900 2050 | waste: 0/3950
15: 1950 2000 | waste: 0/3950
16: 2350 1150 | waste: 0/3500
17: 2050 2100 | waste: 0/4150
18: 1900 1900 | waste: 0/3800
19: 1200 1100 1200 | waste: 0/3500
20: 1950 2000 | waste: 0/3950
21: 1350 2100 | waste: 50/3500
22: 1350 2100 | waste: 50/3500
23: 1850 2100 | waste: 0/3950
24: 1900 1900 | waste: 0/3800
25: 1850 2100 | waste: 0/3950
26: 2250 1250 | waste: 0/3500
27: 1200 2350 | waste: 0/3550
28: 1700 2000 | waste: 0/3700
29: 1650 1850 | waste: 0/3500
30: 1900 2050 | waste: 0/3950
31: 1850 1850 | waste: 0/3700
32: 1950 2000 | waste: 0/3950
33: 1250 2250 | waste: 0/3500
34: 2000 1700 | waste: 0/3700
35: 2050 1900 | waste: 0/3950
36: 2220 | waste: 1280/3500
37: 1350 2100 | waste: 50/3500
38: 1350 2100 | waste: 50/3500
39: 2000 1950 | waste: 0/3950
40: 1150 1200 1200 | waste: 0/3550
41: 1300 1100 1150 | waste: 0/3550
42: 1050 1200 1250 | waste: 0/3500
43: 1250 2250 | waste: 0/3500
44: 1100 1200 1200 | waste: 0/3500
45: 1350 1050 1100 | waste: 0/3500
46: 1900 1900 | waste: 0/3800
47: 1900 1900 | waste: 0/3800
48: 1100 1100 1300 | waste: 0/3500
49: 1700 2000 | waste: 0/3700
50: 2100 1350 | waste: 50/3500
51: 1700 2000 | waste: 0/3700
52: 1050 1350 1100 | waste: 0/3500
53: 1900 2050 | waste: 0/3950
54: 1300 2220 | waste: 30/3550
55: 1350 2100 | waste: 50/3500
