
result 1
0: 2100 2100 | waste: 100/4300
1: 1350 1650 1300 | waste: 0/4300
2: 1950 1150 1200 | waste: 0/4300
3: 2000 1200 1100 | waste: 0/4300
4: 1950 2350 | waste: 0/4300
5: 1050 1200 2050 | waste: 0/4300
6: 1650 1350 1300 | waste: 0/4300
7: 1900 1900 | waste: 500/4300
8: 2050 2250 | waste: 0/4300
9: 1200 1900 1200 | waste: 0/4300
10: 1850 1100 1350 | waste: 0/4300
11: 1950 2000 | waste: 350/4300
12: 2100 2100 | waste: 100/4300
13: 1900 1150 1250 | waste: 0/4300
14: 1950 1050 1300 | waste: 0/4300
15: 2100 2100 | waste: 100/4300
16: 1350 | waste: 2950/4300
17: 1850 1200 1250 | waste: 0/4300
18: 1200 1850 1250 | waste: 0/4300
19: 1200 2000 1100 | waste: 0/4300
20: 2220 2000 | waste: 80/4300
21: 1900 1850 | waste: 550/4300
22: 2220 2050 | waste: 30/4300
23: 1350 1700 1250 | waste: 0/4300
24: 1350 1850 1100 | waste: 0/4300
25: 1900 1900 | waste: 500/4300
26: 1900 1250 1150 | waste: 0/4300
27: 2050 2250 | waste: 0/4300
28: 1850 1850 | waste: 600/4300
29: 1100 2100 1100 | waste: 0/4300
30: 2000 2000 | waste: 300/4300
31: 1850 1350 1100 | waste: 0/4300
32: 1700 1700 | waste: 900/4300
33: 2000 2100 | waste: 200/4300
34: 1700 1850 | waste: 750/4300
35: 2100 2100 | waste: 100/4300
36: 1900 1900 | waste: 500/4300
37: 1850 1350 1100 | waste: 0/4300
38: 1200 1700 1350 | waste: 50/4300
39: 2100 2100 | waste: 100/4300
40: 1900 1900 | waste: 500/4300
41: 1850 1850 | waste: 600/4300
42: 2220 2000 | waste: 80/4300
43: 1900 1900 | waste: 500/4300
44: 2100 2100 | waste: 100/4300
45: 2100 1150 1050 | waste: 0/4300
46: 1950 2350 | waste: 0/4300
47: 2000 2220 | waste: 80/4300
48: 1850 1250 1200 | waste: 0/4300
49: 2250 2050 | waste: 0/4300
50: 2000 2000 | waste: 300/4300
51: 1950 1900 | waste: 450/4300
52: 2250 2050 | waste: 0/4300
