
result 1
0: 4 7 4 | waste: 0/15
1: 4 7 4 | waste: 0/15
2: 7 8 | waste: 0/15
3: 8 7 | waste: 0/15
4: 7 8 | waste: 0/15
5: 10 5 | waste: 0/15
6: 10 4 | waste: 1/15
7: 10 5 | waste: 0/15
8: 6 9 | waste: 0/15
9: 4 4 7 | waste: 0/15
10: 4 10 | waste: 1/15
11: 3 6 6 | waste: 0/15
12: 6 9 | waste: 0/15
13: 6 9 | waste: 0/15
14: 5 10 | waste: 0/15
15: 10 5 | waste: 0/15
16: 10 5 | waste: 0/15
17: 3 10 | waste: 2/15
18: 8 7 | waste: 0/15
19: 8 7 | waste: 0/15
20: 9 6 | waste: 0/15
21: 6 9 | waste: 0/15
22: 3 3 | waste: 9/15
fitness: 0.923748 total_wastage: 13 num_stock_have_wastage: 4/23 found at: 163

result 2
0: 8 7 | waste: 0/15
1: 10 5 | waste: 0/15
2: 6 9 | waste: 0/15
3: 5 10 | waste: 0/15
4: 7 8 | waste: 0/15
5: 5 10 | waste: 0/15
6: 5 10 | waste: 0/15
7: 9 3 3 | waste: 0/15
8: 9 6 | waste: 0/15
9: 6 9 | waste: 0/15
10: 7 4 4 | waste: 0/15
11: 7 4 4 | waste: 0/15
12: 6 | waste: 9/15
13: 10 4 | waste: 1/15
14: 8 7 | waste: 0/15
15: 10 5 | waste: 0/15
16: 10 3 | waste: 2/15
17: 6 9 | waste: 0/15
18: 3 6 6 | waste: 0/15
19: 4 7 4 | waste: 0/15
20: 4 10 | waste: 1/15
21: 8 7 | waste: 0/15
22: 8 7 | waste: 0/15
fitness: 0.923748 total_wastage: 13 num_stock_have_wastage: 4/23 found at: 133

result 3
0: 10 5 | waste: 0/15
1: 3 9 3 | waste: 0/15
2: 6 3 6 | waste: 0/15
3: 10 3 | waste: 2/15
4: 4 7 4 | waste: 0/15
5: 9 6 | waste: 0/15
6: 10 5 | waste: 0/15
7: 9 6 | waste: 0/15
8: 8 7 | waste: 0/15
9: 8 7 | waste: 0/15
10: 10 4 | waste: 1/15
11: 8 7 | waste: 0/15
12: 10 5 | waste: 0/15
13: 6 9 | waste: 0/15
14: 10 5 | waste: 0/15
15: 9 6 | waste: 0/15
16: 7 4 4 | waste: 0/15
17: 4 4 7 | waste: 0/15
18: 10 5 | waste: 0/15
19: 7 8 | waste: 0/15
20: 8 7 | waste: 0/15
21: 6 | waste: 9/15
22: 10 4 | waste: 1/15
fitness: 0.923748 total_wastage: 13 num_stock_have_wastage: 4/23 found at: 231

result 4
0: 3 4 8 | waste: 0/15
1: 5 10 | waste: 0/15
2: 7 8 | waste: 0/15
3: 10 4 | waste: 1/15
4: 6 6 3 | waste: 0/15
5: 5 10 | waste: 0/15
6: 6 9 | waste: 0/15
7: 4 7 4 | waste: 0/15
8: 10 5 | waste: 0/15
9: 7 7 | waste: 1/15
10: 7 8 | waste: 0/15
11: 7 4 4 | waste: 0/15
12: 6 | waste: 9/15
13: 10 4 | waste: 1/15
14: 9 6 | waste: 0/15
15: 9 6 | waste: 0/15
16: 3 9 3 | waste: 0/15
17: 9 6 | waste: 0/15
18: 10 5 | waste: 0/15
19: 4 10 | waste: 1/15
20: 5 10 | waste: 0/15
21: 7 8 | waste: 0/15
22: 7 8 | waste: 0/15
fitness: 0.915634 total_wastage: 13 num_stock_have_wastage: 5/23 found at: 129

result 5
0: 8 7 | waste: 0/15
1: 10 5 | waste: 0/15
2: 7 8 | waste: 0/15
3: 8 7 | waste: 0/15
4: 7 4 4 | waste: 0/15
5: 9 6 | waste: 0/15
6: 5 10 | waste: 0/15
7: 3 6 6 | waste: 0/15
8: 9 6 | waste: 0/15
9: 8 7 | waste: 0/15
10: 7 8 | waste: 0/15
11: 5 10 | waste: 0/15
12: 10 5 | waste: 0/15
13: 6 9 | waste: 0/15
14: 9 6 | waste: 0/15
15: 4 7 4 | waste: 0/15
16: 5 10 | waste: 0/15
17: 10 4 | waste: 1/15
18: 7 4 4 | waste: 0/15
19: 4 10 | waste: 1/15
20: 6 | waste: 9/15
21: 3 9 3 | waste: 0/15
22: 3 10 | waste: 2/15
fitness: 0.923748 total_wastage: 13 num_stock_have_wastage: 4/23 found at: 337

result 6
0: 4 7 4 | waste: 0/15
1: 10 5 | waste: 0/15
2: 8 7 | waste: 0/15
3: 7 4 4 | waste: 0/15
4: 3 6 6 | waste: 0/15
5: 5 10 | waste: 0/15
6: 10 5 | waste: 0/15
7: 4 7 4 | waste: 0/15
8: 10 4 | waste: 1/15
9: 10 4 | waste: 1/15
10: 9 6 | waste: 0/15
11: 9 6 | waste: 0/15
12: 9 6 | waste: 0/15
13: 6 9 | waste: 0/15
14: 7 8 | waste: 0/15
15: 7 8 | waste: 0/15
16: 5 10 | waste: 0/15
17: 7 8 | waste: 0/15
18: 8 7 | waste: 0/15
19: 10 3 | waste: 2/15
20: 10 5 | waste: 0/15
21: 6 9 | waste: 0/15
22: 3 3 | waste: 9/15
fitness: 0.923748 total_wastage: 13 num_stock_have_wastage: 4/23 found at: 294

result 7
0: 9 6 | waste: 0/15
1: 4 7 4 | waste: 0/15
2: 6 3 6 | waste: 0/15
3: 3 9 3 | waste: 0/15
4: 4 7 4 | waste: 0/15
5: 10 4 | waste: 1/15
6: 7 8 | waste: 0/15
7: 7 8 | waste: 0/15
8: 9 6 | waste: 0/15
9: 6 | waste: 9/15
10: 10 5 | waste: 0/15
11: 10 5 | waste: 0/15
12: 10 3 | waste: 2/15
13: 5 10 | waste: 0/15
14: 7 8 | waste: 0/15
15: 4 4 7 | waste: 0/15
16: 4 10 | waste: 1/15
17: 8 7 | waste: 0/15
18: 8 7 | waste: 0/15
19: 6 9 | waste: 0/15
20: 9 6 | waste: 0/15
21: 5 10 | waste: 0/15
22: 10 5 | waste: 0/15
fitness: 0.923748 total_wastage: 13 num_stock_have_wastage: 4/23 found at: 300

result 8
0: 4 4 7 | waste: 0/15
1: 3 10 | waste: 2/15
2: 5 10 | waste: 0/15
3: 8 7 | waste: 0/15
