
result 1
0: 1050 1350 1100 | waste: 0/3500
1: 1950 2000 | waste: 0/3950
2: 2100 2050 | waste: 0/4150
3: 1200 1200 1100 | waste: 0/3500
4: 1900 1900 | waste: 0/3800
5: 1950 2000 | waste: 0/3950
6: 1850 1850 | waste: 0/3700
7: 1850 2100 | waste: 0/3950
8: 1100 1350 1050 | waste: 0/3500
9: 1200 1050 1250 | waste: 0/3500
10: 2050 1900 | waste: 0/3950
11: 2250 1250 | waste: 0/3500
12: 1950 2000 | waste: 0/3950
13: 2100 1350 | waste: 50/3500
14: 2220 1300 | waste: 30/3550
15: 1850 2100 | waste: 0/3950
16: 1100 1200 1200 | waste: 0/3500
17: 2000 | waste: 1500/3500
18: 2000 1700 | waste: 0/3700
19: 2350 1200 | waste: 0/3550
20: 1300 2220 | waste: 30/3550
21: 2220 1300 | waste: 30/3550
22: 1200 1100 1200 | waste: 0/3500
23: 1950 1850 | waste: 0/3800
24: 1900 1900 | waste: 0/3800
25: 1950 2000 | waste: 0/3950
26: 1700 2000 | waste: 0/3700
27: 2000 1700 | waste: 0/3700
28: 2050 1900 | waste: 0/3950
29: 1950 2000 | waste: 0/3950
30: 1100 1250 1150 | waste: 0/3500
31: 2250 1250 | waste: 0/3500
32: 1900 1900 | waste: 0/3800
33: 2100 1350 | waste: 50/3500
34: 1850 2100 | waste: 0/3950
35: 2050 2100 | waste: 0/4150
36: 2050 1900 | waste: 0/3950
37: 2050 1900 | waste: 0/3950
38: 1100 1350 1100 | waste: 0/3550
39: 2100 1350 | waste: 50/3500
40: 2100 1350 | waste: 50/3500
41: 2100 1850 | waste: 0/3950
42: 1650 1900 | waste: 0/3550
43: 1650 1850 | waste: 0/3500
44: 1150 1200 1150 | waste: 0/3500
45: 2220 1200 | waste: 80/3500
46: 2100 1850 | waste: 0/3950
47: 1850 2100 | waste: 0/3950
48: 1850 1850 | waste: 0/3700
49: 1900 1900 | waste: 0/3800
50: 1900 1900 | waste: 0/3800
51: 2250 1250 | waste: 0/3500
52: 1700 2000 | waste: 0/3700
53: 1850 2100 | waste: 0/3950
54: 2100 1350 | waste: 50/3500
55: 2250 1250 | waste: 0/3500
56: 2350 1150 | waste: 0/3500
57: 2100 1350 | waste: 50/3500
58: 2000 1700 | waste: 0/3700
fitness: 0.966913 total_wastage: 1970 found at: 844

result 2
0: 1850 1850 | waste: 0/3700
1: 1850 2100 | waste: 0/3950
2: 2000 1950 | waste: 0/3950
3: 1100 1300 1100 | waste: 0/3500
4: 2250 1250 | waste: 0/3500
5: 2050 1900 | waste: 0/3950
6: 1850 1850 | waste: 0/3700
7: 2100 1350 | waste: 50/3500
8: 1900 1900 | waste: 0/3800
9: 1300 1100 1100 | waste: 0/3500
10: 2050 1900 | waste: 0/3950
11: 2000 1700 | waste: 0/3700
12: 1200 1200 1100 | waste: 0/3500
