
result 1
0: 9 4 7 | waste: 0/20
1: 8 5 | waste: 0/13
2: 3 7 | waste: 0/10
3: 7 7 6 | waste: 0/20
4: 6 9 | waste: 0/15
5: 4 7 5 4 | waste: 0/20
6: 9 4 | waste: 0/13
7: 7 3 5 | waste: 0/15
8: 9 4 | waste: 0/13
9: 8 7 | waste: 0/15
10: 6 7 4 4 4 | waste: 0/25
11: 8 7 | waste: 0/15
12: 8 7 | waste: 0/15
13: 7 4 4 | waste: 0/15
14: 10 | waste: 0/10
15: 6 4 3 | waste: 0/13
16: 7 3 3 | waste: 0/13
17: 8 7 | waste: 0/15
18: 10 10 | waste: 0/20
19: 10 | waste: 0/10
20: 6 8 7 4 | waste: 0/25
21: 5 7 5 5 | waste: 0/22
22: 10 3 | waste: 0/13
23: 10 | waste: 0/10
fitness: 1 total_wastage: 0 found at: 67

result 2
0: 5 8 7 | waste: 0/20
1: 7 8 7 | waste: 0/22
2: 7 3 | waste: 0/10
3: 7 3 | waste: 0/10
4: 9 4 3 4 | waste: 0/20
5: 5 8 | waste: 0/13
6: 4 9 4 3 | waste: 0/20
7: 6 9 7 | waste: 0/22
8: 7 9 6 | waste: 0/22
9: 7 7 6 | waste: 0/20
10: 4 6 6 4 | waste: 0/20
11: 10 | waste: 0/10
12: 4 7 4 | waste: 0/15
13: 3 7 | waste: 0/10
14: 10 | waste: 0/10
15: 10 | waste: 0/10
16: 4 5 4 | waste: 0/13
17: 5 8 | waste: 0/13
18: 10 | waste: 0/10
19: 10 8 7 | waste: 0/25
20: 10 | waste: 0/10
21: 7 8 5 | waste: 0/20
22: 7 3 | waste: 0/10
23: 5 7 4 4 | waste: 0/20
fitness: 1 total_wastage: 0 found at: 76

result 3
0: 7 8 7 | waste: 0/22
1: 9 4 | waste: 0/13
2: 8 8 9 | waste: 0/25
3: 3 5 7 | waste: 0/15
4: 9 4 4 5 | waste: 0/22
5: 10 | waste: 0/10
6: 8 7 5 | waste: 0/20
7: 6 4 | waste: 0/10
8: 6 7 | waste: 0/13
9: 3 5 7 | waste: 0/15
10: 7 7 6 | waste: 0/20
11: 7 3 | waste: 0/10
12: 8 7 | waste: 0/15
13: 5 5 | waste: 0/10
14: 9 4 3 4 | waste: 0/20
15: 10 | waste: 0/10
16: 10 10 | waste: 0/20
17: 4 8 4 4 | waste: 0/20
18: 6 4 6 4 | waste: 0/20
19: 10 3 7 | waste: 0/20
20: 10 | waste: 0/10
21: 7 7 4 7 | waste: 0/25
22: 7 3 | waste: 0/10
fitness: 1 total_wastage: 0 found at: 46

result 4
0: 9 4 9 | waste: 0/22
1: 7 5 4 4 5 | waste: 0/25
2: 8 7 | waste: 0/15
3: 4 6 | waste: 0/10
4: 9 8 3 | waste: 0/20
5: 10 3 | waste: 0/13
6: 4 6 | waste: 0/10
7: 7 8 | waste: 0/15
8: 7 10 3 | waste: 0/20
9: 4 4 5 | waste: 0/13
10: 10 4 8 | waste: 0/22
11: 7 6 7 | waste: 0/20
12: 8 10 7 | waste: 0/25
13: 10 | waste: 0/10
14: 9 7 4 | waste: 0/20
15: 7 8 | waste: 0/15
16: 7 3 | waste: 0/10
17: 6 7 7 | waste: 0/20
18: 10 | waste: 0/10
