
result 1
0: 9 9 7 | waste: 0/25
1: 8 8 9 | waste: 0/25
2: 11 6 8 | waste: 0/25
3: 6 9 10 | waste: 0/25
4: 6 6 6 7 | waste: 0/25
5: 7 6 7 5 | waste: 0/25
6: 8 6 11 | waste: 0/25
7: 5 10 5 5 | waste: 0/25
8: 7 7 11 | waste: 0/25
9: 8 11 6 | waste: 0/25
10: 8 6 | waste: 11/25
11: 7 11 7 | waste: 0/25
12: 12 7 6 | waste: 0/25
13: 7 11 7 | waste: 0/25
14: 7 11 7 | waste: 0/25
15: 10 10 5 | waste: 0/25
16: 10 10 5 | waste: 0/25
17: 7 5 7 6 | waste: 0/25
18: 11 8 6 | waste: 0/25
fitness: 0.964202 total_wastage: 11 found at: 69

result 2
0: 7 7 6 5 | waste: 0/25
1: 6 7 6 6 | waste: 0/25
2: 10 9 6 | waste: 0/25
3: 6 8 6 5 | waste: 0/25
4: 7 7 11 | waste: 0/25
5: 6 8 11 | waste: 0/25
6: 10 9 6 | waste: 0/25
7: 10 8 7 | waste: 0/25
8: 10 8 7 | waste: 0/25
9: 6 8 11 | waste: 0/25
10: 8 11 6 | waste: 0/25
11: 9 11 5 | waste: 0/25
12: 9 5 | waste: 11/25
13: 10 10 5 | waste: 0/25
14: 11 7 7 | waste: 0/25
15: 11 7 7 | waste: 0/25
16: 11 7 7 | waste: 0/25
17: 8 7 5 5 | waste: 0/25
18: 7 6 12 | waste: 0/25
fitness: 0.964202 total_wastage: 11 found at: 170

result 3
0: 11 9 5 | waste: 0/25
1: 7 11 7 | waste: 0/25
2: 6 8 | waste: 11/25
3: 10 9 6 | waste: 0/25
4: 7 6 7 5 | waste: 0/25
5: 7 8 5 5 | waste: 0/25
6: 10 7 8 | waste: 0/25
7: 9 11 5 | waste: 0/25
8: 10 9 6 | waste: 0/25
9: 11 8 6 | waste: 0/25
10: 7 11 7 | waste: 0/25
11: 5 7 7 6 | waste: 0/25
12: 7 11 7 | waste: 0/25
13: 7 6 6 6 | waste: 0/25
14: 8 11 6 | waste: 0/25
15: 7 10 8 | waste: 0/25
16: 10 10 5 | waste: 0/25
17: 11 8 6 | waste: 0/25
18: 12 7 6 | waste: 0/25
fitness: 0.964202 total_wastage: 11 found at: 81

result 4
0: 11 9 5 | waste: 0/25
1: 6 6 6 7 | waste: 0/25
2: 11 7 7 | waste: 0/25
3: 7 6 6 6 | waste: 0/25
4: 6 8 11 | waste: 0/25
