
result 1
0: 1250 1200 1850 | waste: 0/4300
1: 2000 2220 | waste: 80/4300
2: 1650 1700 | waste: 950/4300
3: 2220 2050 | waste: 30/4300
4: 2000 2220 | waste: 80/4300
5: 1900 1900 | waste: 500/4300
6: 1700 1350 1200 | waste: 50/4300
7: 2000 2000 | waste: 300/4300
8: 2100 2100 | waste: 100/4300
9: 2000 2000 | waste: 300/4300
10: 1700 1350 1200 | waste: 50/4300
11: 2220 2000 | waste: 80/4300
12: 1950 1200 1150 | waste: 0/4300
13: 1050 | waste: 3250/4300
14: 1850 1850 | waste: 600/4300
15: 1900 1900 | waste: 500/4300
16: 1100 2100 1100 | waste: 0/4300
17: 1200 1200 1900 | waste: 0/4300
18: 1850 1850 | waste: 600/4300
19: 2100 2100 | waste: 100/4300
20: 2250 2050 | waste: 0/4300
21: 1350 1700 1250 | waste: 0/4300
22: 1850 1250 1200 | waste: 0/4300
23: 2050 2250 | waste: 0/4300
24: 1100 1200 2000 | waste: 0/4300
25: 2100 2100 | waste: 100/4300
26: 2350 1950 | waste: 0/4300
27: 1300 1100 1900 | waste: 0/4300
28: 1850 1850 | waste: 600/4300
29: 1900 1900 | waste: 500/4300
30: 1150 1250 1900 | waste: 0/4300
31: 2100 2100 | waste: 100/4300
32: 1900 1900 | waste: 500/4300
33: 2250 2050 | waste: 0/4300
34: 2350 1950 | waste: 0/4300
35: 1900 1300 1100 | waste: 0/4300
36: 2100 2100 | waste: 100/4300
37: 2050 1200 1050 | waste: 0/4300
38: 1900 1950 | waste: 450/4300
39: 1200 1950 1150 | waste: 0/4300
40: 1850 1350 1100 | waste: 0/4300
41: 1150 1900 1250 | waste: 0/4300
42: 1850 1100 1350 | waste: 0/4300
43: 1850 1850 | waste: 600/4300
44: 1100 1850 1350 | waste: 0/4300
45: 1700 1350 1250 | waste: 0/4300
46: 2100 2100 | waste: 100/4300
47: 2000 1950 | waste: 350/4300
48: 2000 2000 | waste: 300/4300
49: 1900 1350 1050 | waste: 0/4300
50: 1300 1650 1350 | waste: 0/4300
51: 2250 2050 | waste: 0/4300
52: 2100 2100 | waste: 100/4300
fitness: 0.853649 total_wastage: 11370 found at: 555

result 2
0: 1950 1950 | waste: 400/4300
1: 1850 1850 | waste: 600/4300
2: 2000 1100 1200 | waste: 0/4300
3: 1850 1850 | waste: 600/4300
4: 2100 2100 | waste: 100/4300
5: 1200 1900 1200 | waste: 0/4300
6: 1900 1900 | waste: 500/4300
7: 1350 | waste: 2950/4300
8: 1900 1900 | waste: 500/4300
9: 2050 2250 | waste: 0/4300
10: 2220 2050 | waste: 30/4300
11: 2100 2100 | waste: 100/4300
12: 2000 2000 | waste: 300/4300
13: 2100 1050 1150 | waste: 0/4300
14: 2050 2250 | waste: 0/4300
15: 2100 2100 | waste: 100/4300
16: 2250 2050 | waste: 0/4300
17: 1150 1850 1300 | waste: 0/4300
18: 1950 2350 | waste: 0/4300
19: 1700 1250 1350 | waste: 0/4300
20: 1850 1300 1150 | waste: 0/4300
21: 1950 1900 | waste: 450/4300
22: 1350 1850 1100 | waste: 0/4300
23: 1900 1900 | waste: 500/4300
24: 1700 1350 1200 | waste: 50/4300
25: 1850 1650 | waste: 800/4300
26: 1850 1850 | waste: 600/4300
27: 1050 2050 1200 | waste: 0/4300
28: 2100 2100 | waste: 100/4300
29: 2220 2000 | waste: 80/4300
30: 2220 2000 | waste: 80/4300
31: 1350 1300 1650 | waste: 0/4300
32: 1850 1850 | waste: 600/4300
33: 1700 1350 1250 | waste: 0/4300
34: 2250 2050 | waste: 0/4300
35: 1900 1200 1200 | waste: 0/4300
36: 1250 1700 1350 | waste: 0/4300
37: 2000 2220 | waste: 80/4300
38: 2350 1950 | waste: 0/4300
39: 2000 1950 | waste: 350/4300
40: 2100 1100 1100 | waste: 0/4300
41: 2100 2100 | waste: 100/4300
42: 2100 2100 | waste: 100/4300
43: 1350 1900 1050 | waste: 0/4300
44: 1250 1350 1700 | waste: 0/4300
45: 1850 1250 1200 | waste: 0/4300
46: 1100 2000 1200 | waste: 0/4300
