
result 1
0: 6 10 9 | waste: 0/25
1: 7 5 5 8 | waste: 0/25
2: 7 11 7 | waste: 0/25
3: 6 9 5 5 | waste: 0/25
4: 8 6 6 | waste: 0/20
5: 8 5 | waste: 0/13
6: 11 11 | waste: 3/25
7: 7 7 11 | waste: 0/25
8: 7 6 7 | waste: 0/20
9: 6 7 6 6 | waste: 0/25
10: 8 5 | waste: 0/13
11: 7 8 10 | waste: 0/25
12: 7 6 | waste: 0/13
13: 7 6 | waste: 0/13
14: 8 5 | waste: 0/13
15: 12 6 7 | waste: 0/25
16: 9 11 | waste: 0/20
17: 11 11 | waste: 3/25
18: 9 10 6 | waste: 0/25
19: 10 10 | waste: 0/20
20: 7 11 7 | waste: 0/25
21: 7 10 8 | waste: 0/25
fitness: 0.965925 total_wastage: 6 found at: 128

result 2
0: 11 9 5 | waste: 0/25
1: 11 7 7 | waste: 0/25
2: 10 5 10 | waste: 0/25
3: 8 12 5 | waste: 0/25
4: 11 8 6 | waste: 0/25
5: 8 10 7 | waste: 0/25
6: 6 10 9 | waste: 0/25
7: 6 7 7 | waste: 0/20
8: 11 7 7 | waste: 0/25
9: 6 8 11 | waste: 0/25
10: 8 7 5 | waste: 0/20
11: 10 10 | waste: 0/20
12: 7 7 6 | waste: 0/20
13: 11 6 8 | waste: 0/25
14: 9 6 5 5 | waste: 0/25
15: 7 7 11 | waste: 0/25
16: 9 11 | waste: 0/20
17: 8 5 | waste: 0/13
18: 6 7 | waste: 0/13
19: 7 6 6 6 | waste: 0/25
20: 7 6 | waste: 0/13
fitness: 1 total_wastage: 0 found at: 892

result 3
0: 7 6 | waste: 0/13
1: 6 7 | waste: 0/13
2: 8 5 | waste: 0/13
3: 10 6 9 | waste: 0/25
4: 8 10 7 | waste: 0/25
5: 11 9 | waste: 0/20
6: 7 5 7 6 | waste: 0/25
7: 8 5 | waste: 0/13
8: 5 8 7 5 | waste: 0/25
9: 6 8 11 | waste: 0/25
10: 8 11 6 | waste: 0/25
11: 10 10 | waste: 0/20
12: 10 10 5 | waste: 0/25
13: 11 9 | waste: 0/20
14: 11 11 | waste: 3/25
15: 7 6 | waste: 0/13
16: 8 5 | waste: 0/13
17: 9 11 | waste: 0/20
18: 7 12 6 | waste: 0/25
19: 7 6 | waste: 0/13
20: 7 7 11 | waste: 0/25
21: 6 7 | waste: 0/13
22: 7 6 7 | waste: 0/20
23: 6 7 | waste: 0/13
fitness: 0.984477 total_wastage: 3 found at: 223

result 4
0: 11 9 | waste: 0/20
1: 6 7 | waste: 0/13
2: 5 8 | waste: 0/13
3: 11 8 6 | waste: 0/25
4: 8 6 6 | waste: 0/20
5: 11 9 5 | waste: 0/25
6: 11 9 | waste: 0/20
7: 7 7 11 | waste: 0/25
8: 6 7 | waste: 0/13
9: 6 7 | waste: 0/13
10: 8 5 | waste: 0/13
11: 11 8 6 | waste: 0/25
12: 7 5 7 6 | waste: 0/25
13: 10 10 | waste: 0/20
14: 10 10 | waste: 0/20
15: 7 7 11 | waste: 0/25
16: 7 7 6 | waste: 0/20
17: 6 7 | waste: 0/13
18: 7 6 | waste: 0/13
19: 7 8 5 | waste: 0/20
20: 11 9 | waste: 0/20
21: 10 10 5 | waste: 0/25
22: 8 12 5 | waste: 0/25
23: 6 7 | waste: 0/13
fitness: 1 total_wastage: 0 found at: 637

result 5
0: 8 6 11 | waste: 0/25
1: 10 7 8 | waste: 0/25
2: 11 9 | waste: 0/20
3: 5 6 5 9 | waste: 0/25
4: 5 6 9 | waste: 0/20
5: 10 5 10 | waste: 0/25
6: 7 11 7 | waste: 0/25
7: 7 6 | waste: 0/13
8: 6 7 7 5 | waste: 0/25
9: 11 7 7 | waste: 0/25
10: 8 10 7 | waste: 0/25
11: 12 7 6 | waste: 0/25
12: 6 11 8 | waste: 0/25
13: 8 11 6 | waste: 0/25
14: 8 11 6 | waste: 0/25
15: 5 7 8 5 | waste: 0/25
