
result 1
0: 10 7 8 | waste: 0/25
1: 11 8 6 | waste: 0/25
2: 11 7 7 | waste: 0/25
3: 11 8 6 | waste: 0/25
4: 7 12 6 | waste: 0/25
5: 10 8 7 | waste: 0/25
6: 6 7 6 6 | waste: 0/25
7: 8 11 6 | waste: 0/25
8: 6 7 5 7 | waste: 0/25
9: 9 11 5 | waste: 0/25
10: 7 7 6 5 | waste: 0/25
11: 7 7 | waste: 11/25
12: 11 7 7 | waste: 0/25
13: 10 10 5 | waste: 0/25
14: 11 9 5 | waste: 0/25
15: 8 7 10 | waste: 0/25
16: 9 10 6 | waste: 0/25
17: 8 5 6 6 | waste: 0/25
18: 9 11 5 | waste: 0/25
fitness: 0.964202 total_wastage: 11 found at: 272

result 2
0: 9 11 5 | waste: 0/25
1: 8 11 6 | waste: 0/25
2: 10 8 7 | waste: 0/25
3: 6 6 8 5 | waste: 0/25
4: 7 7 | waste: 11/25
5: 11 6 8 | waste: 0/25
6: 10 8 7 | waste: 0/25
7: 11 7 7 | waste: 0/25
8: 7 11 7 | waste: 0/25
9: 11 9 5 | waste: 0/25
10: 11 7 7 | waste: 0/25
11: 12 7 6 | waste: 0/25
12: 6 7 6 6 | waste: 0/25
13: 8 7 5 5 | waste: 0/25
14: 11 7 7 | waste: 0/25
15: 8 6 6 5 | waste: 0/25
16: 6 9 10 | waste: 0/25
17: 10 10 5 | waste: 0/25
18: 10 9 6 | waste: 0/25
fitness: 0.964202 total_wastage: 11 found at: 71

result 3
0: 6 8 11 | waste: 0/25
1: 8 6 11 | waste: 0/25
2: 9 11 5 | waste: 0/25
3: 7 7 11 | waste: 0/25
4: 7 8 10 | waste: 0/25
5: 7 5 7 6 | waste: 0/25
6: 6 7 7 5 | waste: 0/25
7: 8 11 6 | waste: 0/25
8: 11 7 7 | waste: 0/25
9: 9 9 7 | waste: 0/25
10: 11 7 7 | waste: 0/25
11: 7 7 | waste: 11/25
12: 6 8 11 | waste: 0/25
13: 6 8 5 6 | waste: 0/25
14: 12 7 6 | waste: 0/25
15: 10 10 5 | waste: 0/25
16: 6 10 9 | waste: 0/25
17: 10 10 5 | waste: 0/25
18: 6 8 6 5 | waste: 0/25
fitness: 0.964202 total_wastage: 11 found at: 68

result 4
0: 8 8 9 | waste: 0/25
1: 9 10 6 | waste: 0/25
2: 11 8 6 | waste: 0/25
3: 10 10 5 | waste: 0/25
4: 10 10 5 | waste: 0/25
5: 8 11 6 | waste: 0/25
6: 7 7 5 6 | waste: 0/25
7: 6 6 7 6 | waste: 0/25
8: 5 9 5 6 | waste: 0/25
9: 11 9 5 | waste: 0/25
10: 7 11 7 | waste: 0/25
11: 7 11 7 | waste: 0/25
12: 11 7 7 | waste: 0/25
13: 12 8 5 | waste: 0/25
14: 8 10 7 | waste: 0/25
15: 7 7 11 | waste: 0/25
16: 7 7 | waste: 11/25
17: 7 6 6 6 | waste: 0/25
18: 8 6 11 | waste: 0/25
fitness: 0.964202 total_wastage: 11 found at: 147

result 5
0: 10 10 5 | waste: 0/25
1: 10 8 7 | waste: 0/25
2: 9 10 6 | waste: 0/25
3: 7 7 11 | waste: 0/25
4: 6 7 7 5 | waste: 0/25
5: 11 9 5 | waste: 0/25
6: 7 11 7 | waste: 0/25
7: 10 9 6 | waste: 0/25
8: 6 8 5 6 | waste: 0/25
9: 6 6 6 7 | waste: 0/25
10: 12 8 5 | waste: 0/25
11: 11 9 5 | waste: 0/25
12: 10 8 7 | waste: 0/25
13: 11 6 8 | waste: 0/25
14: 8 6 | waste: 11/25
15: 8 6 11 | waste: 0/25
16: 11 7 7 | waste: 0/25
17: 7 7 6 5 | waste: 0/25
18: 7 11 7 | waste: 0/25
fitness: 0.964202 total_wastage: 11 found at: 174

result 6
0: 8 11 6 | waste: 0/25
1: 10 9 6 | waste: 0/25
2: 12 7 6 | waste: 0/25
3: 10 10 5 | waste: 0/25
4: 6 7 7 5 | waste: 0/25
5: 7 11 7 | waste: 0/25
6: 10 8 7 | waste: 0/25
7: 7 11 7 | waste: 0/25
8: 8 10 7 | waste: 0/25
9: 11 8 6 | waste: 0/25
10: 7 11 7 | waste: 0/25
11: 11 7 7 | waste: 0/25
12: 9 6 5 5 | waste: 0/25
13: 11 9 5 | waste: 0/25
14: 9 5 | waste: 11/25
15: 8 6 5 6 | waste: 0/25
16: 7 10 8 | waste: 0/25
17: 6 6 7 6 | waste: 0/25
18: 11 6 8 | waste: 0/25
fitness: 0.964202 total_wastage: 11 found at: 78

result 7
0: 9 5 11 | waste: 0/25
1: 10 6 9 | waste: 0/25
2: 7 12 6 | waste: 0/25
3: 6 6 8 5 | waste: 0/25
4: 7 7 11 | waste: 0/25
5: 7 11 7 | waste: 0/25
6: 9 6 5 5 | waste: 0/25
7: 8 11 6 | waste: 0/25
8: 7 7 5 6 | waste: 0/25
9: 10 8 7 | waste: 0/25
10: 9 10 6 | waste: 0/25
11: 8 11 6 | waste: 0/25
12: 7 7 | waste: 11/25
13: 10 10 5 | waste: 0/25
